	sub_id	filename_prefix	tracked_point	event_type	ix_ref	ix_pred
0	pp156	sub-pp156_task-walkFast	left_ankle	IC	139	139
1	pp156	sub-pp156_task-walkFast	left_ankle	IC	329	325
2	pp156	sub-pp156_task-walkFast	left_ankle	IC	514	513
3	pp156	sub-pp156_task-walkFast	left_ankle	IC	700	691
4	pp156	sub-pp156_task-walkFast	left_ankle	IC	882	877
5	pp156	sub-pp156_task-walkFast	left_ankle	IC	1085	1082
6	pp156	sub-pp156_task-walkFast	left_ankle	FC	76	72
7	pp156	sub-pp156_task-walkFast	left_ankle	FC	264	261
8	pp156	sub-pp156_task-walkFast	left_ankle	FC	451	449
9	pp156	sub-pp156_task-walkFast	left_ankle	FC	632	629
10	pp156	sub-pp156_task-walkFast	left_ankle	FC	814	811
11	pp156	sub-pp156_task-walkFast	left_ankle	FC	1012	1009
12	pp156	sub-pp156_task-walkFast	left_ankle	FC	1216	1213
13	pp156	sub-pp156_task-walkFast	right_ankle	IC	37	
14	pp156	sub-pp156_task-walkFast	right_ankle	IC	234	231
15	pp156	sub-pp156_task-walkFast	right_ankle	IC	424	421
16	pp156	sub-pp156_task-walkFast	right_ankle	IC	606	599
17	pp156	sub-pp156_task-walkFast	right_ankle	IC	785	
18	pp156	sub-pp156_task-walkFast	right_ankle	IC	978	973
19	pp156	sub-pp156_task-walkFast	right_ankle	IC	1183	1180
20	pp156	sub-pp156_task-walkFast	right_ankle	FC	166	164
21	pp156	sub-pp156_task-walkFast	right_ankle	FC	354	351
22	pp156	sub-pp156_task-walkFast	right_ankle	FC	541	540
23	pp156	sub-pp156_task-walkFast	right_ankle	FC	723	719
24	pp156	sub-pp156_task-walkFast	right_ankle	FC	914	910
25	pp156	sub-pp156_task-walkFast	right_ankle	FC	1115	1111
26	pp156	sub-pp156_task-walkFast	left_shank	IC	139	135
27	pp156	sub-pp156_task-walkFast	left_shank	IC	329	323
28	pp156	sub-pp156_task-walkFast	left_shank	IC	514	516
