	participant_type	task	tracked_point	median	mean	sd	se	lower_lim	upper_lim
0	MS	Fast	left_ankle	5	6.4	14.3	2.7	1.2	11.6
1	OA	Fast	left_ankle	7.5	2.0	19.2	4.3	-6.4	10.4
2	PD	Fast	left_ankle	0	-0.9	18.0	2.3	-5.5	3.7
3	YA	Fast	left_ankle	5	3.6	13.1	2.1	-0.5	7.7
4	cLBP	Fast	left_ankle	0	-1.5	7.7	2.1	-5.7	2.7
5	other	Fast	left_ankle	5	-3.8	18.5	5.3	-14.2	6.7
6	stroke	Fast	left_ankle	0	-1.3	11.6	2.7	-6.6	3.9
7	MS	Preferred	left_ankle	0	2.2	16.0	2.6	-3.0	7.3
8	OA	Preferred	left_ankle	0	-1.9	11.7	2.9	-7.6	3.8
9	PD	Preferred	left_ankle	0	-2.5	20.4	2.5	-7.4	2.5
10	YA	Preferred	left_ankle	-5	-0.5	12.8	1.7	-3.8	2.9
11	cLBP	Preferred	left_ankle	0	4.3	23.0	6.2	-7.8	16.3
12	other	Preferred	left_ankle	-10	-16.7	23.4	6.0	-28.5	-4.8
13	stroke	Preferred	left_ankle	0	-1.7	11.5	2.1	-5.8	2.4
14	MS	Slow	left_ankle	5	0.3	19.9	2.6	-4.9	5.4
15	OA	Slow	left_ankle	-5	-9.8	27.3	5.3	-20.1	0.5
16	PD	Slow	left_ankle	-5	-6.4	19.3	2.3	-11.0	-1.8
17	YA	Slow	left_ankle	0	2.0	17.5	2.1	-2.0	6.1
18	cLBP	Slow	left_ankle	0	-1.9	15.4	3.8	-9.4	5.7
19	other	Slow	left_ankle	-7.5	-3.3	30.8	6.3	-15.6	9.0
20	stroke	Slow	left_ankle	0	-0.1	15.5	2.5	-4.9	4.7
21	MS	Fast	left_shank	0	0.9	10.4	1.9	-2.9	4.6
22	OA	Fast	left_shank	5	-1.3	22.9	5.1	-11.3	8.8
23	PD	Fast	left_shank	0	-3.5	17.0	2.3	-8.0	1.0
24	YA	Fast	left_shank	0	-0.1	11.6	1.9	-3.8	3.5
25	cLBP	Fast	left_shank	-5	-5.9	16.4	4.9	-15.6	3.8
26	other	Fast	left_shank	-10	-5.0	12.8	3.9	-12.6	2.6
27	stroke	Fast	left_shank	-5	-3.2	11.6	2.7	-8.4	2.0
28	MS	Preferred	left_shank	5	7.2	21.5	3.4	0.4	13.9
29	OA	Preferred	left_shank	-5	-3.0	7.5	1.9	-6.8	0.8
30	PD	Preferred	left_shank	-10	-11.8	21.0	2.7	-17.0	-6.5
31	YA	Preferred	left_shank	-5	-1.3	18.5	2.5	-6.2	3.6
32	cLBP	Preferred	left_shank	-7.5	-1.8	20.7	5.5	-12.6	9.1
33	other	Preferred	left_shank	-10	-16.7	20.8	5.4	-27.2	-6.1
34	stroke	Preferred	left_shank	0	1.1	22.2	4.0	-6.7	9.0
35	MS	Slow	left_shank	-5	-5.7	27.6	3.8	-13.1	1.6
36	OA	Slow	left_shank	0	-10.6	25.6	4.9	-20.2	-0.9
37	PD	Slow	left_shank	-10	-12.3	21.7	2.8	-17.7	-6.9
38	YA	Slow	left_shank	0	-0.4	21.5	2.6	-5.6	4.7
39	cLBP	Slow	left_shank	-12.5	-8.4	21.0	5.3	-18.7	1.9
40	other	Slow	left_shank	-10	-10.6	27.6	5.4	-21.2	0.0
41	stroke	Slow	left_shank	5	4.3	14.7	2.4	-0.3	9.0
42	MS	Fast	right_ankle	10	7.4	12.1	2.2	3.0	11.8
43	OA	Fast	right_ankle	5	5.0	12.5	2.9	-0.8	10.8
