	participant_type	tracked_point	median	Q25	Q75	mean	sd	se	lower_lim	upper_lim
0	MS	left_ankle	0.0	-5.0	10.0	-0.3305785123966942	15.420975125756513	1.4019068296142285	-3.0783158984405823	2.4171588736471934
1	OA	left_ankle	-5.0	-15.0	1.25	-9.285714285714286	17.279219559095505	2.3090328393206594	-13.81141865078278	-4.7600099206457935
2	PD	left_ankle	0.0	-10.0	5.0	-4.528795811518324	18.66711034258645	1.3507046998087073	-7.17617702314339	-1.8814145998932577
3	YA	left_ankle	0.0	-5.0	10.0	1.729559748427673	12.901616783478598	1.0231647648465525	-0.2758431906715699	3.7349626875269157
4	cLBP	left_ankle	5.0	0.0	10.0	3.7837837837837838	6.91269016268524	1.136439262301159	1.5563628296735121	6.011204737894055
5	other	left_ankle	-5.0	-15.0	0.0	-8.333333333333334	16.25272110744002	2.2117152024994438	-12.668295130232243	-3.9983715364344246
6	stroke	left_ankle	5.0	0.0	15.0	5.934065934065934	12.268117846952542	1.2860481914077897	3.4134114789066663	8.454720389225201
7	MS	left_shank	-5.0	-18.75	10.0	-4.692982456140351	24.38885832701614	2.2842258669759365	-9.170065155413187	-0.21589975686751472
8	OA	left_shank	-10.0	-18.75	-1.25	-13.333333333333334	16.654083300081027	2.2663336788336164	-17.775347343847223	-8.891319322819445
9	PD	left_shank	0.0	-5.0	5.0	-1.7195767195767195	17.16102362141531	1.2482807896517596	-4.1662070672941685	0.7270536281407289
10	YA	left_shank	-10.0	-20.0	5.0	-10.368098159509202	18.893449467485514	1.4798491731727437	-13.26860253892778	-7.467593780090624
11	cLBP	left_shank	5.0	-5.0	10.0	1.6666666666666667	12.30563169563316	2.05093861593886	-2.3531730205734984	5.686506353906832
12	other	left_shank	-10.0	-20.0	0.0	-8.148148148148149	22.218815252459372	3.023597780982981	-14.07439979887479	-2.2218964974215067
13	stroke	left_shank	0.0	-15.0	10.0	-0.8928571428571429	15.564880035951541	1.6982676416108313	-4.221461720414372	2.4357474347000863
14	MS	right_ankle	-5.0	-15.0	5.0	-5.655737704918033	11.29892153985019	1.022956291086219	-7.6607320354470225	-3.650743374389043
15	OA	right_ankle	-5.0	-20.0	0.0	-11.666666666666666	19.572034031470317	2.4658445094744463	-16.49972190523658	-6.833611428096752
16	PD	right_ankle	0.0	-10.0	10.0	-3.2804232804232805	20.591794684546535	1.4978326640781556	-6.216175302016465	-0.34467125883009553
17	YA	right_ankle	-5.0	-10.0	0.0	-7.753164556962025	14.316124581841702	1.1389297192251393	-9.985466806643299	-5.520862307280752
18	cLBP	right_ankle	0.0	-10.0	5.0	-1.875	8.674121547187623	1.37149903951283	-4.5631381174451455	0.813138117445146
19	other	right_ankle	-10.0	-17.5	5.0	-7.549019607843137	11.805615147869586	1.6531167771261168	-10.789128491010327	-4.308910724675948
20	stroke	right_ankle	0.0	-5.0	5.0	-0.5232558139534884	9.487734179623768	1.0230886880058805	-2.528509642445014	1.4819980145380374
21	MS	right_shank	-10.0	-15.0	0.0	-5.458715596330276	17.64544433394749	1.6901270397461539	-8.771364594232736	-2.146066598427814
22	OA	right_shank	-5.0	-20.0	5.0	-10.555555555555555	21.925664574308563	2.7623740854018726	-15.969808762943225	-5.141302348167885
23	PD	right_shank	0.0	-10.0	10.0	-1.2771739130434783	21.62457417761172	1.594184758881874	-4.401776040451951	1.8474282143649947
24	YA	right_shank	-5.0	-15.0	0.0	-8.905109489051094	16.2665676681087	1.3897466652016541	-11.629012952846336	-6.181206025255852
25	cLBP	right_shank	5.0	-15.0	30.0	6.428571428571429	24.77424199046442	3.822748531900184	-1.064015693952931	13.92115855109579
26	other	right_shank	-5.0	-15.0	5.0	-3.9215686274509802	18.609506320431933	2.6058521074094205	-9.029038757973444	1.185901503071484
27	stroke	right_shank	-5.0	-15.0	10.0	-2.6506024096385543	14.363260835471833	1.576572696644467	-5.74068489506171	0.43948007578460135
