	participant_type	tracked_point	median	Q25	Q75	mean	sd	se	lower_lim	upper_lim
0	MS	left_ankle	5.0	-5.0	12.5	2.2764227642276422	17.616730504150624	1.5884470957712102	-0.83693354348393	5.3897790719392145
1	OA	left_ankle	0.0	-10.0	10.0	-4.0476190476190474	22.031084031306087	2.7756556885715353	-9.487904197219256	1.3926661019811615
2	PD	left_ankle	-2.5	-15.0	10.0	-3.3854166666666665	19.32763520320044	1.3948519234208328	-6.119326436571498	-0.6515068967618345
3	YA	left_ankle	0.0	-10.0	10.0	1.5757575757575757	15.079121212001645	1.1739079942426904	-0.7251020929580978	3.876617244473249
4	cLBP	left_ankle	0.0	-5.0	5.0	0.23255813953488372	16.5455176051981	2.523167780205651	-4.712850709668192	5.1779669887379605
5	other	left_ankle	-5.0	-20.0	5.0	-7.352941176470588	26.48306895313439	3.7083714019014598	-14.62134912419745	-0.0845332287437266
6	stroke	left_ankle	0.0	-10.0	5.0	-0.898876404494382	13.347663179731146	1.4148494673553966	-3.6719813605109595	1.8742285515221955
7	MS	left_shank	0.0	-10.0	10.0	-0.040983606557377046	23.13717538886144	2.0947414351471694	-4.146676819445829	4.064709606331074
8	OA	left_shank	-2.5	-10.0	5.0	-5.725806451612903	21.782207624827773	2.766343134697645	-11.147838995620287	-0.30377390760551926
9	PD	left_shank	-5.0	-25.0	5.0	-9.46629213483146	20.38115582413653	1.5276322148552892	-12.460451275947827	-6.472132993715094
10	YA	left_shank	0.0	-10.0	5.0	-0.6481481481481481	18.408232097942065	1.446287305123411	-3.482871266190034	2.186574969893738
11	cLBP	left_shank	-5.0	-15.0	5.0	-5.487804878048781	19.519377489074174	3.0484146121924875	-11.462697517946056	0.48708776184849434
12	other	left_shank	-10.0	-25.0	5.0	-11.153846153846153	23.297214017892248	3.2307422968064974	-17.486101055586886	-4.821591252105419
13	stroke	left_shank	0.0	-10.0	10.0	1.5909090909090908	17.263100215462803	1.840252666227681	-2.0159861348971644	5.197804316715346
14	MS	right_ankle	5.0	-5.0	15.0	4.75206611570248	16.743795364121965	1.5221632149201787	1.7686262144589295	7.7355060169460295
15	OA	right_ankle	0.0	-5.0	5.0	-2.9464285714285716	23.640811894116222	3.159136373319758	-9.138335863135296	3.2454787202781534
16	PD	right_ankle	-5.0	-20.0	5.0	-8.575129533678757	21.58234722108963	1.5535313467867635	-11.620050973380813	-5.5302080939767
17	YA	right_ankle	0.0	-5.0	10.0	0.4573170731707317	12.257638464777937	0.9571607554574242	-1.4187180075258197	2.333352153867283
18	cLBP	right_ankle	-5.0	-15.0	0.0	-6.375	20.0636007965439	3.1723338290723633	-12.592774304981832	-0.15722569501816785
19	other	right_ankle	0.0	-15.0	15.0	0.4444444444444444	33.19745030978595	4.948783704823522	-9.255171617009658	10.144060505898548
20	stroke	right_ankle	-2.5	-15.0	10.0	-2.159090909090909	23.166010755770362	2.4695050441160085	-6.999320795558287	2.6811389773764684
21	MS	right_shank	5.0	-5.0	20.0	8.4	18.99278300964903	1.698766155659131	5.070418334908103	11.729581665091898
22	OA	right_shank	0.0	-10.0	5.0	-7.592592592592593	24.489904364720406	3.3326538635068674	-14.124594165066053	-1.0605910201191326
23	PD	right_shank	-10.0	-25.0	0.0	-14.365482233502538	22.17114383092055	1.579628592810731	-17.461554275411572	-11.269410191593506
24	YA	right_shank	0.0	-10.0	10.0	-1.9090909090909092	13.21114560024805	1.0284862900957257	-3.9249240376785317	0.10674221949671336
25	cLBP	right_shank	-5.0	-10.0	0.0	-4.571428571428571	20.37773541982367	3.4444659583591934	-11.32258184981259	2.1797247069554473
26	other	right_shank	-15.0	-25.0	5.0	-13.962264150943396	29.52115425624801	4.055042397054468	-21.91014724917015	-6.014381052716638
27	stroke	right_shank	0.0	-10.0	10.0	-0.11764705882352941	19.349179732033114	2.098713208842703	-4.2311249481552275	3.995830830508169
